"TG_DOCNR","TG_DATE","TG_ACCOUNT","TG_FACTOR","TG_ORDER","TG_INVNR"
"  416","07-10-2002","00067",1,"",""
"  417","07-10-2002","00485",1,"",""
"  418","07-10-2002","00PRA",1,"",""
"  419","07-10-2002","00070",1,"",""
"  420","07-10-2002","00477",1,"",""
"  421","07-10-2002","30109",1,"",""
"  422","07-10-2002","30BEP",1,"",""
"  423","07-10-2002","30528",1,"",""
"  425","08-10-2002","30WIN",1,"",""
"  426","08-10-2002","30AV",1,"",""
"  427","08-10-2002","30343",1,"",""
"  429","08-10-2002","00089",1,"",""
"  430","09-10-2002","00481",1,"",""
"  431","09-10-2002","00129",1,"",""
"  432","09-10-2002","30YIZ",1,"",""
"  433","09-10-2002","30048",1,"",""
"  434","09-10-2002","30SHL",1,"",""
"  435","09-10-2002","00PRA",1,"",""
"  436","09-10-2002","16DHA",1,"",""
"  437","09-10-2002","30NAM",1,"",""
"  438","09-10-2002","30WIN",1,"",""
"  439","09-10-2002","30COH",1,"",""
"  440","09-10-2002","00210",1,"",""
"  441","10-10-2002","00089",1,"",""
"  442","10-10-2002","00089",1,"",""
"  443","10-10-2002","30SHI",1,"",""
"  444","10-10-2002","30BEP",1,"",""
"  445","10-10-2002","30BEN",1,"",""
"  446","10-10-2002","30BEP",1,"",""
"  447","10-10-2002","30515",1,"",""
"  448","10-10-2002","30MIR",1,"",""
"  449","10-10-2002","30088",1,"",""
"  451","10-10-2002","00210",1,"",""
"  452","11-10-2002","00067",1,"",""
"  453","11-10-2002","30NAM",1,"",""
"  454","11-10-2002","30416",1,"",""
"  455","11-10-2002","30508",1,"",""
"  456","11-10-2002","30287",1,"",""
"  457","11-10-2002","30PRN",1,"",""
"  458","11-10-2002","30343",1,"",""
"  459","11-10-2002","00089",1,"",""
"  460","14-10-2002","30300",1,"",""
"  461","14-10-2002","30SHA",1,"",""
"  462","14-10-2002","30WIN",1,"",""
"  463","14-10-2002","30034",1,"",""
"  464","14-10-2002","30SHT",1,"",""
"  465","14-10-2002","30034",1,"",""
"  466","14-10-2002","30287",1,"",""
"  467","14-10-2002","30515",1,"",""
"  468","14-10-2002","30KON",1,"",""
"  470","15-10-2002","00554",1,"",""
"  472","15-10-2002","30526",1,"",""
"  473","15-10-2002","30531",1,"",""
"  474","15-10-2002","30002",1,"",""
"  475","15-10-2002","30WIN",1,"",""
"  476","15-10-2002","30A",1,"",""
"  477","15-10-2002","30RUT",1,"",""
"  478","16-10-2002","30VIK",1,"",""
"  479","16-10-2002","30DU",1,"",""
"  480","16-10-2002","30MIL",1,"",""
"  481","16-10-2002","00067",1,"",""
"  482","16-10-2002","00340",1,"",""
"  483","16-10-2002","00477",1,"",""
"  484","16-10-2002","00495",1,"",""
"  485","16-10-2002","00067",1,"",""
"  486","16-10-2002","30300",1,"",""
"  487","16-10-2002","30YI",1,"",""
"  488","16-10-2002","30VE",1,"",""
"  489","16-10-2002","30B",1,"",""
"  490","17-10-2002","00067",1,"",""
"  491","17-10-2002","00067",1,"",""
"  492","17-10-2002","00067",1,"",""
"  493","17-10-2002","00477",1,"",""
"  494","18-10-2002","30343",1,"",""
"  495","18-10-2002","30040",1,"",""
"  496","18-10-2002","30136",1,"",""
"  500","18-10-2002","ELB",1,"",""
"  501","18-10-2002","30YI",1,"",""
"  502","18-10-2002","30283",1,"",""
"  497","18-10-2002","30ARK",1,"",""
"  505","18-10-2002","HEN",1,"",""
"  506","18-10-2002","30021",1,"",""
"  507","21-10-2002","30BEP",1,"",""
"  508","21-10-2002","30AK",1,"",""
"  509","21-10-2002","30RAZ",1,"",""
"  510","21-10-2002","30149",1,"",""
"  511","21-10-2002","30B",1,"",""
"  512","21-10-2002","30WIN",1,"",""
"  513","21-10-2002","30511",1,"",""
"  514","22-10-2002","30M",1,"",""
"  515","22-10-2002","30AV",1,"",""
"  516","22-10-2002","30287",1,"",""
"  517","22-10-2002","30226",1,"",""
"  518","22-10-2002","30509",1,"",""
"  519","22-10-2002","30YIZ",1,"",""
"  520","23-10-2002","AR",1,"",""
"  521","23-10-2002","30YIZ",1,"",""
"  522","23-10-2002","30KON",1,"",""
"  523","23-10-2002","30AK",1,"",""
"  524","23-10-2002","30526",1,"",""
"  525","23-10-2002","30TR",1,"",""
"  526","23-10-2002","30Y",1,"",""
"  527","23-10-2002","30368",1,"",""
"  528","24-10-2002","00067",1,"",""
"  529","24-10-2002","30532",1,"",""
"  530","24-10-2002","00067",1,"",""
"  531","24-10-2002","30300",1,"",""
"  532","25-10-2002","30021",1,"",""
"  533","28-10-2002","30AM",1,"",""
"  534","28-10-2002","30DE",1,"",""
"  535","28-10-2002","30AK",1,"",""
"  536","29-10-2002","00523",1,"",""
"  537","29-10-2002","30526",1,"",""
"  538","29-10-2002","30SA",1,"",""
"  539","29-10-2002","30AK",1,"",""
"  540","29-10-2002","30521",1,"",""
"  541","30-10-2002","00477",1,"",""
"  542","30-10-2002","30249",1,"",""
"  543","31-10-2002","30BEN",1,"",""
"  544","31-10-2002","30R",1,"",""
"  545","31-10-2002","30034",1,"",""
"  546","31-10-2002","30AK",1,"",""
"  547","31-10-2002","30SA",1,"",""
"  548","31-10-2002","30034",1,"",""
"  549","31-10-2002","30 KI",1,"",""
"  550","31-10-2002","30FR",1,"",""
"  551","31-10-2002","30VI",1,"",""
"  552","31-10-2002","30SA",1,"",""
"  553","31-10-2002","30226",1,"",""
"  554","31-10-2002","30COH",1,"",""
"  555","31-10-2002","30F",1,"",""
"  556","04-11-2002","30146",1,"",""
"  557","04-11-2002","30034",1,"",""
"  558","04-11-2002","30017",1,"",""
"  560","05-11-2002","30DAV",1,"",""
"  561","05-11-2002","30MOY",1,"",""
"  562","05-11-2002","00089",1,"",""
"  563","06-11-2002","30AK",1,"",""
"  564","06-11-2002","30OR",1,"",""
"  565","06-11-2002","30002",1,"",""
"  566","06-11-2002","30531",1,"",""
"  568","06-11-2002","30PAS",1,"",""
"  569","06-11-2002","30FR",1,"",""
"  570","06-11-2002","30AK",1,"",""
"  571","06-11-2002","30483",1,"",""
"  572","07-11-2002","30531",1,"",""
"  573","12-11-2002","30OR",1,"",""
"  574","12-11-2002","30089",1,"",""
"  575","12-11-2002","30BR",1,"",""
"  576","12-11-2002","30ELA",1,"",""
"  577","12-11-2002","30VI",1,"",""
"  579","12-11-2002","30226",1,"",""
"  580","12-11-2002","30 KI",1,"",""
"  581","12-11-2002","30YIZ",1,"",""
"  582","12-11-2002","30RUT",1,"",""
"  583","12-11-2002","30027",1,"",""
"  584","12-11-2002","30021",1,"",""
"  585","13-11-2002","30YOI",1,"",""
"  586","13-11-2002","30AK",1,"",""
"  587","13-11-2002","30BR",1,"",""
"  588","13-11-2002","30532",1,"",""
"  590","14-11-2002","30M",1,"",""
"  591","14-11-2002","30DU",1,"",""
"  592","14-11-2002","30VE",1,"",""
"  593","14-11-2002","30SHU",1,"",""
"  595","21-11-2002","30531",1,"",""
"  596","21-11-2002","30089",1,"",""
"  597","21-11-2002","30CA",1,"",""
"  598","21-11-2002","00089",1,"",""
"  599","21-11-2002","30073",1,"",""
"  600","21-11-2002","00210",1,"",""
"  601","21-11-2002","00289",1,"",""
"  602","21-11-2002","00067",1,"",""
"  605","25-11-2002","30531",1,"",""
"  606","25-11-2002","30YAC",1,"",""
"  607","25-11-2002","00340",1,"",""
"  608","25-11-2002","00473",1,"",""
"  609","25-11-2002","00067",1,"",""
"  610","26-11-2002","00129",1,"",""
"  611","26-11-2002","AR",1,"",""
"  612","26-11-2002","30MED",1,"",""
"  613","26-11-2002","30034",1,"",""
"  614","27-11-2002","30050",1,"",""
"  615","27-11-2002","30077",1,"",""
"  616","27-11-2002","00089",1,"",""
"  617","27-11-2002","00089",1,"",""
"  618","28-11-2002","30AK",1,"",""
"  619","28-11-2002","30YAC",1,"",""
"  620","04-12-2002","30249",1,"",""
"  621","05-12-2002","30343",1,"",""
"  622","05-12-2002","30AV",1,"",""
"  623","05-12-2002","30AK",1,"",""
"  624","05-12-2002","30017",1,"",""
"  625","05-12-2002","30MED",1,"",""
"  626","05-12-2002","30368",1,"",""
"  627","09-12-2002","30BEC",1,"",""
"  628","09-12-2002","30542",1,"",""
"  629","09-12-2002","30002",1,"",""
"  630","11-12-2002","30287",1,"",""
"  631","13-12-2002","30002",1,"",""
"  632","13-12-2002","30526",1,"",""
"  633","13-12-2002","30SA",1,"",""
"  634","13-12-2002","30300",1,"",""
"  635","13-12-2002","30 KI",1,"",""
"  636","13-12-2002","YACOV",1,"",""
"  637","13-12-2002","30S",1,"",""
"  638","13-12-2002","30P",1,"",""
"  639","13-12-2002","30K",1,"",""
"  640","16-12-2002","30017",1,"",""
"  641","16-12-2002","30BEP",1,"",""
"  642","16-12-2002","30YE",1,"",""
"  643","16-12-2002","30SH",1,"",""
"  644","16-12-2002","30SHN",1,"",""
"  645","17-12-2002","30300",1,"",""
"  646","17-12-2002","30I",1,"",""
"  647","19-12-2002","30AK",1,"",""
"  648","19-12-2002","30531",1,"",""
"  649","20-12-2002","20PLU",1,"",""
"  650","07-01-2003","30AK",1,"",""
"  653","23-01-2003","00D",1,"",""
"  655","13-02-2003","00RE",1,"",""
"  656","13-02-2003","00ST",1,"",""
"  657","13-02-2003","STI",1,"",""
"  658","13-02-2003","00485",1,"",""
"  659","13-02-2003","00477",1,"",""
"  661","13-02-2003","00563",1,"",""
"  662","13-02-2003","00089",1,"",""
"  663","13-02-2003","00289",1,"",""
"  665","14-02-2003","NUSS",1,"",""
"  666","14-02-2003","00089",1,"",""
"  667","14-02-2003","00473",1,"",""
"  668","14-02-2003","NUSS",1,"",""
"  671","17-02-2003","30AK",1,"",""
"  672","17-02-2003","30MOY",1,"",""
"  673","17-02-2003","30M",1,"",""
"  674","17-02-2003","30AVR",1,"",""
"  675","17-02-2003","30LI",1,"",""
"  676","17-02-2003","30089",1,"",""
"  677","17-02-2003","30109",1,"",""
"  678","17-02-2003","30531",1,"",""
"  679","18-02-2003","30BEP",1,"",""
"  680","18-02-2003","30226",1,"",""
"  681","18-02-2003","30249",1,"",""
"  682","18-02-2003","30L",1,"",""
"  683","18-02-2003","30034",1,"",""
"  684","18-02-2003","30 KI",1,"",""
"  685","18-02-2003","30034",1,"",""
"  686","18-02-2003","30YAR",1,"",""
"  687","18-02-2003","30125",1,"",""
"  688","18-02-2003","30SHR",1,"",""
"  689","19-02-2003","00089",1,"",""
"  690","20-02-2003","30249",1,"",""
"  691","21-02-2003","30BEN",1,"",""
"  692","21-02-2003","30088",1,"",""
"  693","21-02-2003","00471",1,"",""
"  694","20-02-2003","YAM",1,"",""
"  696","24-02-2003","30287",1,"",""
"  697","24-02-2003","00067",1,"",""
"  699","24-02-2003","00AL",1,"",""
"  701","24-02-2003","00473",1,"",""
"  702","25-02-2003","30445",1,"",""
"  703","25-02-2003","30115",1,"",""
"  704","25-02-2003","30M",1,"",""
"  705","25-02-2003","30BEN",1,"",""
"  706","25-02-2003","30154",1,"",""
"  707","25-02-2003","30 KI",1,"",""
"  708","25-02-2003","30PO",1,"",""
"  709","25-02-2003","30508",1,"",""
"  710","25-02-2003","30034",1,"",""
